time;Wind Speed;Wind Direction
0;1.8;-0.2
5;1.8;-0.2
5;1.8;-0.2
5;1.8;-0.2
15;7.3;2.7
15;7.3;2.7
25;12.8;0.3
25;12.8;0.3
30;9.8;0.3
30;9.8;0.3
30;9.8;0.3
35;10.8;0.3
35;10.8;0.3
35;10.8;0.3
40;11.8;1.4
40;11.8;1.4
50;13.8;6.36646E-14
50;13.8;0
50;13.8;9.09273E-14
55;14.8;1
55;14.8;1.7
55;14.8;1.7
60;14.55;0.2
60;14.55;2
60;14.55;2
70;14.05;1.7
70;14.05;1.7
70;14.05;1.7
75;13.8;0.9
75;13.8;-1.3
80;11.8;-1.1
80;11.8;-1.1
90;12.6;-0.7
90;12.6;-0.7
105;13.8;-1.9
105;13.8;-1.9
105;13.8;-1.9
120;15;0.2
120;15;0.2
120;15;0.2
125;11.2;-0.65
125;11.2;-0.65
130;10.6;-1.5
130;10.6;-1.5
130;10.6;-1.5
145;8.8;-0.8
145;8.8;-0.8
145;8.8;-0.8
160;9.485714286;-0.8
160;9.485714286;-0.8
160;9.485714286;-0.8
165;9.714285714;1.3
165;9.714285714;1.3
165;9.714285714;1.3
175;10.17142857;-0.1
175;10.17142857;-0.1
175;10.17142857;-0.1
180;10.4;0.1
180;10.4;0.1
180;10.4;0.1
195;19.4;0.7
195;19.4;0.7
195;19.4;0.7
200;18.5;0.9
200;18.5;0.9
205;17.6;0.46
205;17.6;0.46
220;13.4;-0.86
220;13.4;-0.86
220;13.4;-0.86
225;15.1;-1.3
225;15.1;-1.3
230;16.8;-0.2
230;16.8;-0.2
230;16.8;-0.2
235;16.8;0.9
235;16.8;0.9
250;16.8;0.085714286
250;16.8;0.085714286
265;12.2;-0.728571429
265;12.2;-0.728571429
270;12;-1
270;12;-1
270;12;-1
285;11.4;-0.55
285;11.4;-0.55
285;11.4;-0.55
300;8.8;-0.1
300;14.2;-0.1
300;14.2;-0.1
320;16.4;-1.06
320;16.4;-1.06
320;16.4;-1.06
325;13.7;-1.3
325;13.7;-1.3
325;13.7;-1.3
330;11;-0.8
330;11;-0.8
330;11;-0.8
345;11.6;0.7
