time;Wind Speed;Wind Direction
0;21.59647132;-0.2
5;21.42121365;-0.2
5;21.42121365;-0.2
5;21.42121365;-0.2
15;21.07069832;2.7
15;21.07069832;2.7
20;20.89544065;1.5
20;20.89544065;1.5
25;20.64306421;0.3
25;20.64306421;0.3
25;20.64306421;0.3
35;20.13831133;0.3
35;20.13831133;0.3
35;20.13831133;0.3
40;19.8859349;1.4
40;19.8859349;1.4
50;20.1820035;6.36646E-14
50;20.1820035;0
50;20.1820035;9.09273E-14
55;20.33003781;1
55;20.33003781;1.7
55;20.33003781;1.7
60;20.47807211;0.2
60;20.47807211;2
60;20.47807211;2
70;19.81243792;1.7
70;19.81243792;1.7
70;19.81243792;1.7
75;19.47962082;0.9
75;19.47962082;-1.3
80;19.14680372;-1.1
80;19.14680372;-1.1
90;20.4604067;-0.7
90;20.4604067;-0.7
100;21.77400967;-1.5
100;21.77400967;-1.5
105;20.5484438;-1.9
105;20.5484438;-1.9
105;20.5484438;-1.9
120;16.87174617;0.2
120;16.87174617;0.2
120;16.87174617;0.2
130;18.297025;-1.5
130;18.297025;-1.5
130;18.297025;-1.5
140;19.72230383;-1.033333333
140;19.72230383;-1.033333333
140;19.72230383;-1.033333333
145;19.51583874;-0.8
145;19.51583874;-0.8
145;19.51583874;-0.8
160;18.89644346;-0.8
160;18.89644346;-0.8
160;18.89644346;-0.8
165;19.14995003;1.3
165;19.14995003;1.3
165;19.14995003;1.3
175;19.65696318;-0.1
175;19.65696318;-0.1
175;19.65696318;-0.1
180;19.91046975;0.1
180;19.91046975;0.1
180;19.91046975;0.1
200;20.88197347;0.9
200;20.88197347;0.9
220;20.72111127;-0.86
220;20.72111127;-0.86
220;20.72111127;-0.86
225;20.24008646;-1.3
225;20.24008646;-1.3
235;19.27803683;0.9
235;19.27803683;0.9
235;19.27803683;0.9
240;18.79701201;0.628571429
240;18.79701201;0.628571429
260;19.94289259;-0.457142857
260;19.94289259;-0.457142857
260;19.94289259;-0.457142857
270;19.0146423;-1
270;19.0146423;-1
270;19.0146423;-1
280;18.08639201;-0.7
280;18.08639201;-0.7
280;18.08639201;-0.7
300;20.21861208;-0.1
300;20.21861208;-0.1
300;20.21861208;-0.1
320;18.84440647;-1.06
320;18.84440647;-1.06
320;18.84440647;-1.06
325;19.05363093;-1.3
325;19.05363093;-1.3
325;19.05363093;-1.3
340;19.68130433;0.2
340;19.68130433;0.2
340;19.68130433;0.2
345;20.12802643;0.7
345;20.12802643;0.7
345;20.12802643;0.7
360;21.46819275;-1.3
360;21.46819275;-1.3
360;21.46819275;-1.3
380;21.01404395;-0.55
380;21.01404395;-0.55
380;21.01404395;-0.55
400;21.57100894;0.2
400;21.57100894;0.2
420;21.2649358;-1.3
420;21.2649358;-1.3
440;19.51558027;0.033333333
440;19.51558027;0.033333333
440;19.51558027;0.033333333
450;18.97858297;0.7
450;18.97858297;0.7
460;18.44158566;-1.1
460;18.44158566;-1.1
460;18.44158566;-1.1
465;19.16843387;-2
465;19.16843387;-2
480;21.34897849;-0.9
480;21.34897849;-2
480;21.34897849;-2
500;20.95652947;-1.133333333
500;20.95652947;-1.133333333
510;20.34486331;-0.7
510;20.34486331;0.4
510;20.34486331;0.4
520;19.73319714;-0.7
520;19.73319714;-0.7
520;19.73319714;-0.7
535;21.02830165;0.1
535;21.02830165;-1.3
535;21.02830165;-1.3
540;21.46000315;-1.1
540;21.46000315;-1.1
540;21.46000315;-1.1
560;21.85242599;-0.3
560;21.85242599;2.4
560;21.85242599;2.4
580;19.41908391;1.52
580;19.41908391;1.52
585;19.39816499;1.3
585;19.39816499;-0.1
585;19.39816499;-0.1
600;19.33540822;1.025
600;19.33540822;1.025
605;19.96128427;1.4
605;19.96128427;-1.2
605;19.96128427;-1.2
615;21.21303636;0.1
615;21.21303636;0.1
615;21.21303636;0.1
620;21.83891241;0.1
620;21.83891241;0.1
620;21.83891241;0.1
630;20.95439473;0.1
630;20.95439473;-1.3
630;20.95439473;-1.3
640;20.06987706;-2.7
640;20.06987706;-1.3
640;20.06987706;-1.3
650;19.76459481;-0.5
650;19.76459481;-0.5
650;19.76459481;-0.5
660;19.45931256;0.7
660;19.45931256;-0.3
660;19.45931256;-0.3
680;18.99398831;-2.06
680;18.99398831;-2.06
685;19.07218737;-2.5
685;19.07218737;-0.5
685;19.07218737;-0.5
700;19.30678455;-0.56
700;19.30678455;-0.56
700;19.30678455;-0.56
710;19.79890186;-0.6
710;19.79890186;-1.6
710;19.79890186;-1.6
720;20.29101916;-0.9
720;20.29101916;-0.9
720;20.29101916;-0.9
730;21.22492547;-0.2
730;21.22492547;-0.2
730;21.22492547;-0.2
740;22.15883178;-0.266666667
740;22.15883178;-0.266666667
740;22.15883178;-0.266666667
745;21.42337203;-0.3
745;21.42337203;-1.4
760;19.21699278;-2.525
760;19.21699278;-2.525
765;19.30083126;-2.9
765;19.30083126;-1.8
780;19.55234672;-0.1
780;19.55234672;-1.6
780;19.55234672;-1.6
790;19.97170945;-3.4
790;19.97170945;-2.9
790;19.97170945;-2.9
800;20.39107217;-2.25
800;20.39107217;-2.25
800;20.39107217;-2.25
810;21.07794895;-1.6
810;21.07794895;-0.6
810;21.07794895;-0.6
820;21.76482572;-0.8
820;21.76482572;-0.8
820;21.76482572;-0.8
830;20.20411714;-1
830;20.20411714;-1.6
830;20.20411714;-1.6
840;18.64340856;-1.966666667
840;18.64340856;-1.966666667
860;20.14470367;-2.7
860;20.14470367;-0.8
860;20.14470367;-0.8
870;20.15694852;-2.1
870;20.15694852;0.9
880;20.16919338;6.69047E-13
880;20.16919338;1.42109E-14
880;20.16919338;-6.40665E-13
900;18.6838488;-1.8
900;18.6838488;-0.7
920;19.90310882;-1.328571429
920;19.90310882;-1.328571429
935;22.36016746;-1.8
935;22.36016746;1.3
935;22.36016746;1.3
940;23.17918701;0.875
940;23.17918701;0.875
940;23.17918701;0.875
955;20.39618902;-0.4
955;20.39618902;-1.7
955;20.39618902;-1.7
960;19.46852303;-1.483333333
960;19.46852303;-1.483333333
960;19.46852303;-1.483333333
980;20.01482965;-0.616666667
980;20.01482965;-0.616666667
980;20.01482965;-0.616666667
985;20.10075529;-0.4
985;20.10075529;1
1000;20.35853221;-0.65
1000;20.35853221;-0.65
1005;20.84952744;-1.2
1005;20.84952744;-1.2
1005;20.84952744;-1.2
1020;22.32251316;-0.85
1020;22.32251316;-0.85
1020;22.32251316;-0.85
1035;19.12466822;-0.5
1035;19.12466822;-0.5
1035;19.12466822;-0.5
1040;18.0587199;-0.68
1040;18.0587199;-0.68
1040;18.0587199;-0.68
1060;18.64226127;-1.4
1060;18.64226127;-1.4
1060;18.64226127;-1.4
1080;19.55021935;-0.266666667
1080;19.55021935;-0.266666667
1080;19.55021935;-0.266666667
1090;20.08949772;0.3
1090;20.08949772;1.5
1090;20.08949772;1.5
1100;20.6287761;0.744444444
1100;20.6287761;0.744444444
1100;20.6287761;0.744444444
1120;19.96694313;-0.766666667
1120;19.96694313;-0.766666667
1120;19.96694313;-0.766666667
1135;20.18766771;-1.9
1135;20.18766771;-1.5
1135;20.18766771;-1.5
1140;20.26124257;-1.6
1140;20.26124257;-1.6
1140;20.26124257;-1.6
1150;20.54757725;-1.8
1150;20.54757725;-0.9
1150;20.54757725;-0.9
1160;20.83391194;-0.82
1160;20.83391194;-0.82
1160;20.83391194;-0.82
1180;21.69907224;-0.66
1180;21.69907224;-0.66
1180;21.69907224;-0.66
1200;20.09850816;-0.5
1200;20.09850816;-1.7
1220;19.3033528;-1.871428571
1220;19.3033528;-1.871428571
1220;19.3033528;-1.871428571
1235;19.88443552;-2
1235;19.88443552;0.1
1235;19.88443552;0.1
1240;20.07812976;0.128571429
1240;20.07812976;0.128571429
1240;20.07812976;0.128571429
1260;20.56151822;0.242857143
1260;20.56151822;0.242857143
1260;20.56151822;0.242857143
1270;20.23813012;0.3
1270;20.23813012;0.3
1270;20.23813012;0.3
1280;19.91474201;-0.46
1280;19.91474201;-0.46
1280;19.91474201;-0.46
1295;19.24589119;-1.6
1295;19.24589119;-1.6
1295;19.24589119;-1.6
1300;19.02294092;-1.075
1300;19.02294092;-1.075
1300;19.02294092;-1.075
1315;20.49669624;0.5
1315;20.49669624;-0.9
1315;20.49669624;-0.9
1320;20.98794801;-0.92173913
1320;20.98794801;-0.92173913
1320;20.98794801;-0.92173913
1338;19.13613936;-1
1338;19.13613936;0.2
1338;19.13613936;0.2
1340;18.93038284;0.189473684
1340;18.93038284;0.189473684
1340;18.93038284;0.189473684
1360;20.90786008;0.084210526
1360;20.90786008;0.084210526
1376;20.09051896;7.6589E-14
1376;20.09051896;-0.8
1376;20.09051896;-0.8
1380;19.88618368;-0.8
1380;19.88618368;-0.8
1400;19.26663758;-0.8
1400;19.26663758;-0.8
1400;19.26663758;-0.8
1402;19.25235522;-0.8
1402;19.25235522;-0.8
1420;19.12381402;-1.415789474
1420;19.12381402;-1.415789474
1420;19.12381402;-1.415789474
1440;20.07375121;-2.1
