Time,Wind Speed
0 sec,2
5 sec,2
25 sec,13
25 sec,10
45 sec,14.4
60 sec,10.6
75 sec,14
75 sec,8
80 sec,8
80 sec,14.4
130 sec,9.8
130 sec,14.2
155 sec,8.6
180 sec,13.6
200 sec,7
200 sec,3.8
230 sec,10.4
230 sec,16
270 sec,14.6
270 sec,12.2
310 sec,16.4
310 sec,11.4
345 sec,3.6
345 sec,12.8
380 sec,14.4
380 sec,12.2
415 sec,4
415 sec,10.2
465 sec,16.2
465 sec,11.4
500 sec,13.2
500 sec,5.2
530 sec,8.8
530 sec,11.2
570 sec,14.2
570 sec,6.4
605 sec,11.8
605 sec,11.2
660 sec,10
660 sec,14.2
700 sec,13.6
700 sec,8.6
755 sec,10.8
755 sec,13.4
800 sec,18.2
800 sec,19
835 sec,14.4
835 sec,18.6
870 sec,18.6
870 sec,6.6
890 sec,13.2
890 sec,19.2
915 sec,19.4
915 sec,19
960 sec,12.2
960 sec,19.6
975 sec,8.6
975 sec,17.4
1030 sec,19.4
1030 sec,11.4
1095 sec,20.2
1095 sec,12.6
1140 sec,9.2
1140 sec,17.5
1164 sec,20.2
1164 sec,14
1220 sec,19.5
1220 sec,23.5
1256 sec,19
1256 sec,16
1278 sec,21.5
1278 sec,14.5
1338 sec,19
1376 sec,10
1406 sec,18.5
1440 sec,14.5
