Time,Wind Speed
0 sec,7.4
10 sec,4.4
20 sec,9.4
30 sec,7.2
40 sec,6
50 sec,0.4
60 sec,7.6
70 sec,6
80 sec,7.8
90 sec,5.6
100 sec,8.6
110 sec,5.8
120 sec,7.2
130 sec,8.2
140 sec,9.8
150 sec,9
160 sec,6
170 sec,10.2
180 sec,4.2
190 sec,5.8
205 sec,5.8
210 sec,6
220 sec,4.6
230 sec,8
240 sec,5.6
250 sec,7
260 sec,8.4
270 sec,3.2
280 sec,7
290 sec,9.6
300 sec,6.4
310 sec,2.4
320 sec,9.2
330 sec,9.8
340 sec,5.4
350 sec,4.4
360 sec,4.2
370 sec,7.8
380 sec,7
390 sec,5
400 sec,4.4
410 sec,7.6
420 sec,4.8
430 sec,6.2
440 sec,5.4
450 sec,4
460 sec,7.4
470 sec,8.4
480 sec,5.6
490 sec,7.6
500 sec,7.4
510 sec,4
520 sec,3.4
530 sec,4
540 sec,9.4
550 sec,5.6
560 sec,5
570 sec,5.2
580 sec,6.4
590 sec,4.8
600 sec,6.2
610 sec,4.4
620 sec,5.8
630 sec,7.4
640 sec,3
650 sec,3.2
660 sec,8.2
670 sec,3.4
680 sec,5.2
690 sec,4.6
700 sec,8.6
710 sec,5.6
720 sec,5
730 sec,8.8
740 sec,6
750 sec,7.8
760 sec,2
770 sec,6
780 sec,10.2
790 sec,8.4
800 sec,7.4
810 sec,4.4
820 sec,6.2
830 sec,6.6
840 sec,8.8
850 sec,6
860 sec,6.6
870 sec,7
880 sec,4
890 sec,2.6
900 sec,7.4
910 sec,1.2
920 sec,2.6
930 sec,3
940 sec,4.8
950 sec,6.4
960 sec,12.2
970 sec,4.2
980 sec,5.8
990 sec,9.4
1000 sec,6
1010 sec,8.4
1020 sec,1.6
1030 sec,5.4
1040 sec,5.4
1050 sec,10.4
1060 sec,6.6
1070 sec,4.6
1080 sec,8.2
1090 sec,7.4
1100 sec,5.8
1110 sec,6.2
1120 sec,5.4
1130 sec,2.8
1140 sec,3.8
1150 sec,7
1160 sec,5
1170 sec,9.4
1180 sec,3.4
1190 sec,7
1200 sec,5.8
1210 sec,4.2
1220 sec,7.2
1230 sec,7.2
1240 sec,8.6
1250 sec,2.8
1260 sec,2.4
1270 sec,6
1280 sec,3.6
1290 sec,4.8
1300 sec,5
1310 sec,2
1320 sec,7.2
1330 sec,4.2
1340 sec,8.8
1350 sec,5
1360 sec,5.2
1370 sec,4.6
1380 sec,4.6
1390 sec,4
1400 sec,3.4
1410 sec,3
1420 sec,8.2
1430 sec,8.6
1440 sec,6.8
