Time,Wind Speed
1 sec,13.1269470680436
21 sec,12.3431840710519
41 sec,11.5186009284212
61 sec,13.1554889959039
81 sec,13.818551368521
101 sec,12.7074118691656
121 sec,12.4592135835115
141 sec,12.6913581847199
161 sec,11.9034066984745
181 sec,12.5069901846835
201 sec,12.819260643585
221 sec,13.0458411057137
241 sec,12.9362168799777
261 sec,13.6113351940652
281 sec,13.1093176937749
301 sec,14.8140154502804
321 sec,13.3120238283293
341 sec,14.8044937717242
361 sec,12.2768785204296
381 sec,13.5265470377496
401 sec,12.7397491382939
421 sec,13.6001425088086
441 sec,13.5939307956488
461 sec,10.8139783872518
481 sec,11.6729568504797
501 sec,11.5589864023611
521 sec,13.4018444970398
541 sec,14.4702012808485
561 sec,12.6731857712141
581 sec,13.8123230046408
601 sec,13.5455401035261
621 sec,11.9483676904792
641 sec,13.3974669957953
661 sec,12.2481052613181
681 sec,14.516266896646
701 sec,12.9674334908055
721 sec,14.6359996572783
741 sec,12.57494150939
761 sec,13.5894333667182
781 sec,12.9372087742817
801 sec,10.9780410699482
821 sec,12.017868474221
841 sec,13.6125112981669
861 sec,12.9451138700113
881 sec,11.8812679975473
901 sec,12.3736214611329
921 sec,13.2495177405628
941 sec,12.0069809934504
961 sec,13.9749502248113
981 sec,12.3592904932739
1001 sec,14.8088626205193
1021 sec,11.9201337492612
1041 sec,13.1991894440753
1061 sec,11.478973438231
1081 sec,12.2763688747109
1101 sec,12.4067496849892
1121 sec,13.4013363398188
1141 sec,13.9421333192369
1161 sec,13.3004859675957
1181 sec,12.626929341369
1201 sec,13.8154885080925
1221 sec,13.7988869921567
1241 sec,13.1202052819564
1261 sec,13.5712476297145
1281 sec,13.4127960103114
1301 sec,12.0130381166485
1321 sec,13.7595683259148
1341 sec,12.3427987009016
1361 sec,12.3960815186238
1381 sec,13.1769468223294
1401 sec,12.6924965301372
1440 sec,12.8681796470841
